Rank,Ticker,Probability,Close,Risk_Score,Conviction,Daily_Return_Pct,Return_5d,Return_20d,RSI_14,Vol_Ratio,Momentum_Pass,Setup_Count,Active_Setups,Sector
11,AMAT,0.8740203,354.9100036621094,0.5322558977535742,0.6958677751446577,8.075759868053002,10.046197921121935,11.229164660168657,61.00453964993918,1.7846863191782503,True,1,Volume_Dryup_Reload,Technology
15,ANET,0.8613709,141.58999633789062,0.47917493503320774,0.6683934698029934,4.7883373701218535,2.9820282790885555,8.423309831128577,48.210981919629006,2.292041888997938,True,1,Volume_Dryup_Reload,Technology
55,NRG,0.7408693,172.35000610351562,0.4494217684165073,0.5528927253678513,6.520397313208326,12.41194747601011,9.077636792356714,71.94080957785032,1.5813492063492063,True,1,Volume_Dryup_Reload,Utilities
31,JBL,0.8066519,254.5800018310547,0.379926058777733,0.3918259685225039,1.3737892251672879,-1.421102872776503,0.5529699011668221,58.04866310993584,0.9952303256951163,True,0,none,Technology
23,GNRC,0.8325782,224.4499969482422,0.3567067550783678,0.6160625576972961,4.042090294998313,22.29608153496119,39.038596996675444,83.22902013742814,1.9882691425632757,True,1,Volume_Dryup_Reload,Industrials
43,AKAM,0.772862,111.76000213623047,0.35442633108933747,0.5445572660033837,6.834912039156782,17.54312156494702,22.1020470083404,67.11970431611135,1.737168440314815,True,0,none,Technology
90,IRM,0.64539826,109.83000183105469,0.3502692468043851,0.4663186058402061,3.613209274579887,14.669036574256843,18.517323838536413,75.53498361544145,1.79778821847945,True,1,Volume_Dryup_Reload,Real Estate
92,WSM,0.64098936,214.57000732421875,0.3413238506249282,0.40435738436569957,3.762277813569459,-2.764304570327858,2.498325899405862,59.530232750802675,1.2929311611514414,True,0,none,Consumer Cyclical
56,EME,0.7311803,800.8200073242188,0.33189230280495635,0.35200458950639985,2.285008214756945,4.771378675105464,17.399909341591968,69.88190029012793,0.8966206526934832,True,0,none,Industrials
7,KLAC,0.89084667,1464.1300048828125,0.3242132629715755,0.5333681374459115,0.9153275335385125,1.467830099979306,-5.231847950651025,44.792764852385304,0.7133946505973148,True,0,none,Technology
32,MPWR,0.8064357,1171.469970703125,0.3215359720585847,0.4172441798881665,1.3443648205442082,-4.74459499230001,16.039978227726536,59.37131683719233,0.5859056100934453,True,0,none,Technology
24,LRCX,0.8314501,235.52999877929688,0.3207451341340345,0.4799813889244519,1.8331988483041295,1.9566271503145716,8.304592567811353,55.55360845389002,0.7822024763372613,True,0,none,Technology
13,CIEN,0.87171125,303.9200134277344,0.31872265537493666,0.44736900329589846,3.7411326776123355,12.015334373981368,24.664679354179974,75.38058641147987,0.7117407366849753,True,0,none,Technology
41,FIX,0.7799006,1337.949951171875,0.30510291664000166,0.39404103167349813,2.9176421186422496,8.753429401217861,22.630692116628246,68.96383879335309,0.7888391319324837,True,0,none,Industrials
57,MCHP,0.72996444,78.55999755859375,0.2997922366548143,0.3643311100835802,-0.45615891878367787,3.354815617282836,5.520484592106634,56.892133187198574,0.7165068994286166,True,0,none,Technology
52,ON,0.7484766,72.20999908447266,0.2971858521454175,0.3628473251193748,2.2370124486706278,10.751537521995935,19.79097635495164,70.78019144743723,0.8882493414528508,True,0,none,Technology
25,NEM,0.8280418,125.80000305175781,0.29451409344761714,0.4960555280645158,6.501862619875376,9.087758744942098,10.147976587157558,49.913373428599066,0.6910567999717048,True,0,none,Basic Materials
9,TER,0.88397855,314.6600036621094,0.286523562692251,0.45718284845352175,1.2093952523128504,4.89206699482212,38.24838716814012,75.38229721366389,0.6303877004203156,True,0,none,Technology
6,MU,0.89402443,411.6600036621094,0.28237520137395855,0.4721041206229698,-0.5580108587052379,4.299577165809354,22.288565395534565,54.93462921056235,0.8027360591963808,True,0,none,Technology
46,GEV,0.7541177,802.1300048828125,0.27912296524075864,0.3273361826692073,-1.7671686978207424,2.9229524617292,24.89762690576278,73.7874015344963,0.5666896834352246,True,0,none,Industrials
98,STLD,0.6266176,191.67999267578125,0.2775289526940668,0.4002023579701752,-3.924616333336828,-5.291766760297234,9.46261892962963,63.32752045914617,1.7755584509785485,True,1,Volume_Dryup_Reload,Basic Materials
158,IFF,0.50575614,83.0,0.2725826688647818,0.36193416070508494,1.8404907975460016,10.93290609267623,17.18198200527152,72.80122535767396,2.026367430694598,True,1,Volume_Dryup_Reload,Basic Materials
45,FCX,0.7574781,62.84000015258789,0.27229625520608086,0.40001011637042877,1.2894894024096049,3.5767299309946488,4.8032039894761125,52.79171250107611,0.5901108239282427,True,0,none,Basic Materials
48,ZBRA,0.75312734,264.6199951171875,0.26560833760211566,0.3696792874017587,-3.4761987931669514,5.258552721423904,2.22908590983939,60.846777222179455,1.2063421937510739,True,0,none,Technology
82,PWR,0.6571733,524.0800170898438,0.2628331635201635,0.29692601715706646,1.5895192931336677,3.143026549110539,17.076221950676107,68.64378108029706,0.7442532939748875,True,0,none,Industrials
1,WDC,0.9454262,281.5799865722656,0.2611968373578193,0.4976039642191233,-0.8870184713518747,-0.3538821033046702,26.780719871312275,59.62110310505921,0.8640541527026578,True,0,none,Technology
117,F,0.5758179,14.119999885559082,0.26002159331117747,0.23236970829875833,1.9494548494785269,3.4269885477149042,3.3520914849225703,68.4853801044477,1.204457239395883,True,0,none,Consumer Cyclical
17,GLW,0.8561233,133.4600067138672,0.25529652201477765,0.43489866852760317,1.4904994021803786,9.250165940575172,42.75324608343729,78.49639113820173,0.9952750779341639,True,0,none,Technology
75,UHS,0.672819,234.80999755859375,0.2510221189322625,0.28825522363185885,0.3247145895861614,7.435029365629253,14.995834639834605,76.57841370686728,0.9362650423414054,True,0,none,Healthcare
104,TPL,0.60214955,432.30999755859375,0.25076086390563535,0.38171963691711425,5.08264559366296,18.107805098035513,30.63092837655228,83.69168376340834,1.3435819660830002,True,0,none,Energy
38,NCLH,0.7895283,21.489999771118164,0.24694334118586908,0.4554862984319464,-7.569893457556287,-7.847341113440132,-6.034110264429238,52.84090583622648,1.856001730215595,True,0,none,Consumer Cyclical
